Entity,Date,Cumulative_confirmed_cases,Cumulative_estimated_infections_YYG
United States,01-02-2020,0,0
United States,01-03-2020,0,0
United States,01-04-2020,0,0
United States,01-05-2020,0,0
United States,01-06-2020,0,0
United States,01-07-2020,0,0
United States,01-08-2020,0,0
United States,01-09-2020,0,0
United States,01-10-2020,0,0
United States,01-11-2020,0,0
United States,01-12-2020,0,0
United States,01-13-2020,0,0
United States,01-14-2020,0,0
United States,01-15-2020,0,0
United States,01-16-2020,0,0
United States,01-17-2020,0,0
United States,01-18-2020,0,0
United States,01-19-2020,0,0
United States,01-20-2020,0,0
United States,01-21-2020,0,0
United States,01-22-2020,0,0
United States,01-23-2020,0,0
United States,01-24-2020,0,0
United States,01-25-2020,0,0
United States,01-26-2020,0,0
United States,01-27-2020,0,0
United States,01-28-2020,0,0
United States,01-29-2020,0,0
United States,01-30-2020,0,0
United States,01-31-2020,0,0
United States,02-01-2020,0,0
United States,02-02-2020,0,0
United States,02-03-2020,0,0
United States,02-04-2020,0,0
United States,02-05-2020,0,125
United States,02-06-2020,1,250
United States,02-07-2020,1,375
United States,02-08-2020,1,500
United States,02-09-2020,1,787
United States,02-10-2020,1,1074
United States,02-11-2020,1,1361
United States,02-12-2020,1,1648
United States,02-13-2020,1,2099
United States,02-14-2020,1,2760
United States,02-15-2020,1,3960
United States,02-16-2020,1,6357
United States,02-17-2020,1,10253
United States,02-18-2020,1,14558
United States,02-19-2020,1,19611
United States,02-20-2020,1,24804
United States,02-21-2020,1,30528
United States,02-22-2020,3,37291
United States,02-23-2020,5,45302
United States,02-24-2020,7,55489
United States,02-25-2020,12,71554
United States,02-26-2020,17,91044
United States,02-27-2020,23,112281
United States,02-28-2020,29,138092
United States,02-29-2020,33,169701
United States,03-01-2020,37,210837
United States,03-02-2020,44,262054
United States,03-03-2020,51,325376
United States,03-04-2020,61,403169
United States,03-05-2020,75,500522
United States,03-06-2020,99,619908
United States,03-07-2020,137,764167
United States,03-08-2020,189,935568
United States,03-09-2020,255,1135755
United States,03-10-2020,348,1365307
United States,03-11-2020,476,1621025
United States,03-12-2020,640,1898084
United States,03-13-2020,844,2191504
United States,03-14-2020,1106,2496076
United States,03-15-2020,1465,2807915
United States,03-16-2020,1925,3123591
United States,03-17-2020,2483,3440584
United States,03-18-2020,3254,3757268
United States,03-19-2020,4411,4072570
United States,03-20-2020,6209,4385897
United States,03-21-2020,8701,4696770
United States,03-22-2020,12100,5004800
United States,03-23-2020,16590,5309731
United States,03-24-2020,22558,5611342
United States,03-25-2020,29530,5909436
United States,03-26-2020,38069,6203798
United States,03-27-2020,48317,6494186
United States,03-28-2020,60468,6780357
United States,03-29-2020,74456,7062099
United States,03-30-2020,89858,7339150
United States,03-31-2020,106740,7611297
United States,04-01-2020,125938,7878344
United States,04-02-2020,147013,8140124
United States,04-03-2020,169805,8396499
United States,04-04-2020,194559,8647357
United States,04-05-2020,221355,8892622
United States,04-06-2020,249156,9132257
United States,04-07-2020,278238,9366261
United States,04-08-2020,308122,9594667
United States,04-09-2020,338895,9817540
United States,04-10-2020,370394,10034968
United States,04-11-2020,402336,10247059
United States,04-12-2020,433438,10453934
United States,04-13-2020,464857,10655723
United States,04-14-2020,495485,10852560
United States,04-15-2020,525586,11044579
United States,04-16-2020,555233,11231913
United States,04-17-2020,584561,11414692
United States,04-18-2020,613218,11593042
United States,04-19-2020,642523,11767084
United States,04-20-2020,671396,11936934
United States,04-21-2020,700704,12102705
United States,04-22-2020,731493,12264505
United States,04-23-2020,760488,12422439
United States,04-24-2020,788751,12576610
United States,04-25-2020,815659,12727119
United States,04-26-2020,844797,12874066
United States,04-27-2020,874257,13017547
United States,04-28-2020,902928,13157660
United States,04-29-2020,929719,13294499
United States,04-30-2020,957901,13428160
United States,05-01-2020,986565,13558740
United States,05-02-2020,1017030,13686336
United States,05-03-2020,1044746,13811046
United States,05-04-2020,1072193,13932966
United States,05-05-2020,1099647,14052201
United States,05-06-2020,1127060,14168856
United States,05-07-2020,1154016,14283038
United States,05-08-2020,1180751,14394861
United States,05-09-2020,1206486,14504443
United States,05-10-2020,1231696,14611914
United States,05-11-2020,1256232,14717411
United States,05-12-2020,1280129,14821082
United States,05-13-2020,1303770,14923089
United States,05-14-2020,1326933,15023607
United States,05-15-2020,1349921,15122824
United States,05-16-2020,1372702,15220943
United States,05-17-2020,1395322,15318180
United States,05-18-2020,1417744,15414763
United States,05-19-2020,1440698,15510935
United States,05-20-2020,1463355,15606948
United States,05-21-2020,1486370,15703064
United States,05-22-2020,1509141,15799553
United States,05-23-2020,1531717,15896697
United States,05-24-2020,1553829,15994785
United States,05-25-2020,1576183,16094115
United States,05-26-2020,1598140,16195001
United States,05-27-2020,1619946,16297769
United States,05-28-2020,1641100,16402748
United States,05-29-2020,1661737,16510280
United States,05-30-2020,1682544,16620719
United States,05-31-2020,1703646,16734438
United States,06-01-2020,1724639,16851826
United States,06-02-2020,1745921,16973289
United States,06-03-2020,1767436,17099251
United States,06-04-2020,1789091,17230161
United States,06-05-2020,1810649,17366481
United States,06-06-2020,1832184,17508699
United States,06-07-2020,1853566,17657321
United States,06-08-2020,1875304,17812874
United States,06-09-2020,1896719,17975902
United States,06-10-2020,1917866,18146963
United States,06-11-2020,1939143,18326617
United States,06-12-2020,1960669,18515426
United States,06-13-2020,1982261,18713940
United States,06-14-2020,2004327,18922684
United States,06-15-2020,2025999,19142146
United States,06-16-2020,2047833,19372757
United States,06-17-2020,2070387,19614876
United States,06-18-2020,2093647,19868777
United States,06-19-2020,2117604,20134629
United States,06-20-2020,2142171,20412490
United States,06-21-2020,2167970,20702293
United States,06-22-2020,2194661,21003844
United States,06-23-2020,2222986,21316824
United States,06-24-2020,2252884,21640796
United States,06-25-2020,2284037,21975218
United States,06-26-2020,2317073,22319459
United States,06-27-2020,2352341,22672820
United States,06-28-2020,2388798,23034556
United States,06-29-2020,2427095,23403893
United States,06-30-2020,2466845,23780044
United States,07-01-2020,2507903,24162221
United States,07-02-2020,2551491,24549645
United States,07-03-2020,2596858,24941556
United States,07-04-2020,2643498,25337221
United States,07-05-2020,2690529,25735937
United States,07-06-2020,2739048,26137039
United States,07-07-2020,2788772,26539899
United States,07-08-2020,2840438,26943927
United States,07-09-2020,2893084,27348572
United States,07-10-2020,2947102,27753318
United States,07-11-2020,3002860,28157685
United States,07-12-2020,3061166,28561227
United States,07-13-2020,3120638,28963529
United States,07-14-2020,3181271,29364207
United States,07-15-2020,3243481,29762906
United States,07-16-2020,3306950,30159302
United States,07-17-2020,3372409,30553096
United States,07-18-2020,3438563,30944017
United States,07-19-2020,3504817,31331820
United States,07-20-2020,3571719,31716282
United States,07-21-2020,3638426,32097204
United States,07-22-2020,3705638,32474409
United States,07-23-2020,3773011,32847740
United States,07-24-2020,3838422,33217061
United States,07-25-2020,3904824,33582539
United States,07-26-2020,3971475,33944063
United States,07-27-2020,4037297,34301553
United States,07-28-2020,4103047,34654955
United States,07-29-2020,4167324,35004255
United States,07-30-2020,4232477,35349478
United States,07-31-2020,4298321,35690638
United States,08-01-2020,4362536,36027739
United States,08-02-2020,4425738,36360794
United States,08-03-2020,4487728,36689825
United States,08-04-2020,4548199,37014870
United States,08-05-2020,4608069,37335971
United States,08-06-2020,4664770,37653173
United States,08-07-2020,4720288,37966522
United States,08-08-2020,4774539,38276070
United States,08-09-2020,4828478,38582083
United States,08-10-2020,4882322,38884619
United States,08-11-2020,4936726,39183747
United States,08-12-2020,4989600,39479549
United States,08-13-2020,5042922,39772128
United States,08-14-2020,5095007,40061610
United States,08-15-2020,5148047,40348107
United States,08-16-2020,5199925,40631717
United States,08-17-2020,5251125,40912538
United States,08-18-2020,5300258,41190670
United States,08-19-2020,5349002,41466219
United States,08-20-2020,5396529,41739291
United States,08-21-2020,5443044,42009989
United States,08-22-2020,5487422,42278412
United States,08-23-2020,5531270,42544659
United States,08-24-2020,5574033,42808829
United States,08-25-2020,5617259,43071022
United States,08-26-2020,5659632,43331338
United States,08-27-2020,5701351,43589874
United States,08-28-2020,5743342,43846727
United States,08-29-2020,5785300,44101995
United States,08-30-2020,5827225,44355774
United States,08-31-2020,5869303,44608162
United States,09-01-2020,5910746,44859256
United States,09-02-2020,5953120,45109154
United States,09-03-2020,5994910,45357953
United States,09-04-2020,6035320,45605751
United States,09-05-2020,6075932,45852647
United States,09-06-2020,6116544,46098740
United States,09-07-2020,6156438,46344131
United States,09-08-2020,6194960,46588920
United States,09-09-2020,6230980,46833208
United States,09-10-2020,6266024,47077098
United States,09-11-2020,6301248,47320694
United States,09-12-2020,6336042,47564100
United States,09-13-2020,6370362,47807422
United States,09-14-2020,6405156,48050767
United States,09-15-2020,6441463,48294244
United States,09-16-2020,6481248,48537963
United States,09-17-2020,6519986,48782036
United States,09-18-2020,6559590,49026576
United States,09-19-2020,6599501,49271700
United States,09-20-2020,6639337,49517525
United States,09-21-2020,6680027,49764171
United States,09-22-2020,6723333,50011761
United States,09-23-2020,6764758,50260421
United States,09-24-2020,6808088,50510277
United States,09-25-2020,6851510,50761460
United States,09-26-2020,6895619,51014103
United States,09-27-2020,6940452,51268343
United States,09-28-2020,6984770,51524318
United States,09-29-2020,7026209,51782171
United States,09-30-2020,7068321,52042048
United States,10-01-2020,7111012,52304099
United States,10-02-2020,7153783,52568476
United States,10-03-2020,7196476,52835337
United States,10-04-2020,7239925,53104843
United States,10-05-2020,7283182,53104843
United States,10-06-2020,7327540,53104843
United States,10-07-2020,7371904,53104843
United States,10-08-2020,7417154,53104843
United States,10-09-2020,7464122,53104843
United States,10-10-2020,7511606,53104843
United States,10-11-2020,7559606,53104843
United States,10-12-2020,7608848,53104843
United States,10-13-2020,7658226,53104843
United States,10-14-2020,7708954,53104843
United States,10-15-2020,7761283,53104843
United States,10-16-2020,7814610,53104843
United States,10-17-2020,7869676,53104843
United States,10-18-2020,7925076,53104843
United States,10-19-2020,7981083,53104843
United States,10-20-2020,8039734,53104843
United States,10-21-2020,8099246,53104843
United States,10-22-2020,8159272,53104843
United States,10-23-2020,8220479,53104843
United States,10-24-2020,8283840,53104843
United States,10-25-2020,8350979,53104843
United States,10-26-2020,8419774,53104843
United States,10-27-2020,8489741,53104843
United States,10-28-2020,8562076,53104843
United States,10-29-2020,8636610,53104843
United States,10-30-2020,8713440,53104843
United States,10-31-2020,8792548,53104843
United States,11-01-2020,8871067,53104843
United States,11-02-2020,8952666,53104843
United States,11-03-2020,9036483,53104843
United States,11-04-2020,9122815,53104843
United States,11-05-2020,9212595,53104843
United States,11-06-2020,9307276,53104843
